abb	abban
firissen	friss
firjhezmeneteliben	férjhezmenetelében
fitető	fűtető
fiu	fiú
fiuból	fiúból
fiuhoz	fiúhoz
fiunak	fiúnak
fiura	fiúra
fiut	fiút
fiuval	fiúval
fiyelmébe	figyelmébe
fizessé	fizess
fizetnyi	fizetni
fizetségöm	fizetségem
fizetté	fizettél
fizetésit	fizetését
fizetëk	fizetek
fizetőnk	fizetünk
fiáho	fiához
fiél	fial
fiészekbe	fészekbe
fiú-név	fiúnév
fiúho	fiúhoz
fiútestvírek	fiútestvérek
flekkenyeket	flekkeneket
flu	falu
fnrdulhatott	fordulhatott
fogada	fogadta
fogattak	fogadtak
fogdjanak	fogadjanak
fogga	foggal
foggya	fogyja
foggyék	fogyjon
foghagyma	fokhagyma
foghagymát	fokhagymát
foghagymával	fokhagymával
foghagymáér	fokhagymáért
foghajmát	fokhagymát
fogik	foguk
fogukval	fogukkal
fogyasztóvédelmi-	fogyasztóvédelmi
fogáva	fogával
fogóznia	fogódznia
fogózva	fogódzva
fojlyóra	folyóra
fokhajmát	fokhagymát
fokta	fogta
follyik	folyik
foly	folyik
folytatá	fojtatta
folyóho	folyóhoz
folyóviz	folyóvíz
folé	fölé
foló	folyó
fonjá	fonj
fonnal	fonnál
fonnivalómot	fonnivalómat
fonnyi	fonni
fontá	fontál
fonyatos	fonatos
fonyi	fonni
forditanyi	fordítani
forditják	fordítják
forditsa	fordítsa
forditson	fordítson
fordittok	fordítok
forditva	fordítva
fordollyék	forduljon
fordull	fordul
fordétva	fordítva
fordëtva	fordítva
fordídd	fordítsd
fordúl	fordul
fordúlj	fordulj
fordúlnak	fordulnak
fordúlni	fordulni
fordúlva	fordulva
forgalom-növekedés	forgalomnövekedés
forgalomvisszaesésre	forgalom-visszaesésre
forganytyúját	forgantyúját
forgattya	forgatja
forgoóldol	forgolódsz
forgásibul	forgásából
forgó-szél	forgószél
forgószélhön	forgószélhez
forgószéltűl	forgószéltől
forin	forint
forint-befektetéseik	forintbefektetéseik
forint-erősítés	forinterősítés
forint-kamatok	forintkamatok
forintírt	forintért
forma-érzéke	formaérzéke
formáju	formájú
forra	forrt
forráshó	forráshoz
fotta	fogta
fottán	fogytán
fox-ot	foxot
fraknfurt	frankfurt
francioarszág	franciaország
frisseség	frissesség
frustokóni	frustukolni
frustukójjon	frustukoljon
fuj	fúj
fujja	fújja
ful	fúl
fulemule	fülemüle
fulë	füle
fundamentoma	fundamentuma
fur	fúr
furjon	fúrjon
futkároz	futkározik
futta	futotta
futtak	futottak
fuvása	fúvása
fuvót	fúvót
fzékba	fazékba
fábul	fából
fábó	fából
fábúl	fából
fáho	fához
fáhó	fához
fáinoson	fáinosan
fáintos	fáinos
fáintosan	fáinosan
fájol	fázol
fákot	fákat
fáradott	fáradt
fáradsága	fáradtsága
fáradságba	fáradtságba
fáradsággal	fáradtsággal
fáradságod	fáradtságod
fáradságodat	fáradtságodat
fáradságomba	fáradtságomba
fáradságtúl	fáradtságtól
fáradságába	fáradtságába
fáradságában	fáradtságában
fáradságát	fáradtságát
fáradságért	fáradtságért
fárló	fáról
fárul	fáról
fáró	fáról
fárú	fáról
fárúl	fáról
fátul	fától
fátúl	fától
fázook	fázom
fááááj	fáj
fáááááj	fáj
féjjenek	féljenek
féjjetek	féljetek
féjszi	fejsze
féjszit	fejszét
félbeszakitja	félbeszakítja
félbolonnak	félbolondnak
félcsípejű	félcsípőjű
félelemtül	félelemtől
félelmibe	félelmébe
félgyürüt	félgyűrűt
féliéket	féléket
féljön	féljen
félrehítta	félrehívta
félretaszí	félretaszít
félreódalgott	félreoldalgott
félreódalogtak	félreoldalogtak
fének	félnek
fénkövet	fenkő
fénkő	fenkő
fénkőt	fenkőt
fényesset	fényeset
fényességt	fényességet
fényességtül	fényességtől
fényeségnek	fényességnek
fényës	fényes
fényös	fényes
fényösség	fényesség
féreinti	félreinti
féreturták	félretúrták
férfiat	férfit
férhez	férjhez
férhöz	férjhez
férjhe	férjhez
férjhő	férjhez
férremenyen	félremegy
férrevaló	félrevaló
fész	félsz
fészekfiut	fészekfiú
fészkit	fészkét
fészkökbe	fészkekbe
fészét	fejszét
fésüt	fésűt
fésűlködik	fésülködik
fétek	féltek
fétünk	féltünk
fël	fel
fëlliteres	félliteres
fëlígérkezett	felígérkezik
fërfi	férfi
fílek	félek
fílj	félj
fílni	félni
fíltem	féltem
fílík	fűlik
fínom	finom
fínyesebb	fényesebb
fínyesebbnél	fényesebbnél
fínyessígtűl	fényességtől
fínyit	fényét
fírfi	férfi
fírnek	férnek
físzkelt	fészkelt
fódoztatta	foltoztatta
fólj	szólj
fórrald	forrald
fórrni	forrni
fórrott	forrt
fót	folt
fótosat	foltosat
föcskendezni	fecskendezni
födözni	fedezni
födözzön	fedezzen
födőre	fedőre
föhő	felhő
föjhő	felhő
föjhőbül	felhőből
föjül	fölül
föladat	feladat
föladatot	feladatok
fölalá	fölalá
fölalát	fölalá
fölcsöpörödött	felcseperedett
földbü	földből
földbűl	földből
földgáz-törvény	földgáztörvény
földiekvel	földiekkel
földik	földig
földjin	földjén
földjire	földjére
földmives	földműves
földmivesek	földművesek
földrűl	földről
földtűl	földtől
fölebb	följebb
fölemeni	felemelni
fölet	földet
fölfödözni	fölfedezni
fölháborodék	fölháborodott
fölhő	felhő
fölhőbe	felhőbe
fölhőbül	felhőből
fölhők	felhők
fölhőkbül	felhőkből
fölhőket	felhőket
fölhőn	felhőn
fölhőt	felhőt
fölibük	föléjük
följebb-följebb	följebb-följebb
fölkellett	kellett
fölkerekediek	fölkerekedik
fölkerekedének	fölkerekedtek
fölkereködött	fölkerekedett
fölkászmálódani	fölkászálódni
fölkászmálódni	fölkászálódni
fölkászmálódtak	fölkászálódtak
fölkőt	fölkelt
fölleg	felleg
föllegen	fellegen
fölleget	felleget
fölmégy	fölmész
fölrugja	fölrúgja
fölseje	fölső
fölszaladott	fölszaladt
fölszinre	felszínre
fölszivja	fölszívja
fölszállanak	fölszállnak
fölszállott	fölszállt
fölszömtelenködött	felszemtelenedett
fölsántyikált	fölsántikált
fölségöd	felséged
fölségös	felséges
fölségős	felséges
fölsőtiszai	felső-tiszai
fölturkásszák	föltúrják
föltámaszsza	föltámasztja
föltételéhöz	feltételéhez
föltött	feltett
fölvettették	fölvetették
fölvilágositással	felvilágosítás
fölébrennek	felébrednek
fölébrett	felébredt
fölébrösztél	felébresztettél
fölémbe	fölébe
fölíbred	fölébred
fölíbredt	fölébredt
fölöltöztetett-	fölöltöztetett
fölöttes	felettes
fölötteseit	feletteseit
fölőtözik	felöltözik
fölőtözött	fölöltözött
fön	fönn
fönek	főnek
fönfeledte	fönnfeledte
fönnszóval	fennszóval
förtelemes	förtelmes
förödjél	fürödj
förödve	fürödve
fössék	fessék
fösvíny	fösvény
fösvínykedj	fösvénykedj
fú	fúj
fúj	fúj
fúk	fiúk
fúnni	fújni
fúrdult	fordult
fúrikba	furikba
fúrúja	fúrója
fútnak	futnak
fútt	fújt
fúvintsd	fuvintsd
fülbevalókot	fülbevalókat
fülemile	fülemüle
fülhúzgolta	fölhúzogatta
fülibe	fülébe
fülihez	füléhez
fülik	fülük
fülikből	fülükből
fülin	fülén
fülinél	fülénél
fülire	fülére
füliről-farkáról	füléről-farkáról
fülit	fülét
fülitől	fülétől
fülsértőén	fülsértően
fülugrott	fölugrott
fürdöl	fürdesz
füre	fűre
fürész	fűrész
fürüdőbe	fürdőbe
fürüdőben	fürdőben
fürüdőből	fürdőből
fürüszteti	füröszteti
fürüsztésekben	fürösztésekben
fürüsztött	fürösztött
fürüsztötte	fürösztötte
fürüsztütte	fürösztötte
füstbő	füstből
füstgomalyagbló	füstgomolyagból
füstolik	füstölik
füstt	füst
füstököt	füstöket
füstőlt	füstölt
füszál	fűszál
füsülködött	fésülködött
füteni	fűteni
fütyögette	füttyögette
fütyögtek	füttyögtek
fütyürészni	fütyörészni
fütyüt	fütyült
fütyűl	fütyül
fütyűlni	fütyülni
füvel	fűvel
füz	fűz
füőznek	főznek
főd	föld
fődbe	földbe
fődben	földben
fődben-	földben
fődbű	földből
fődde	földdel
fődek	földek
fődet	földet
fődhö	földhöz
fődhöragadt	földhözragadt
fődhöz	földhöz
fődi	földi
fődig	földig
fődje	földje
fődjeik	földjeik
fődre	földre
fődrű	földről
fődön	földön
fődünk	földről
főggye	földje
főggyire	földjére
főggyit	földjét
főgyütt	följött
főhajtotta	fölhajtotta
főhúzta	fölhúzta
főhő	felhő
főhő-szélbe	felhő-szél
főhőbe	felhőbe
főhőt	felhőt
főkapta	fölkapta
főkelök	felkelek
főkészítötte	felkészítette
főldet	földet
főldünk	földünk
főlve	főve
főnek-fának	fűnek-fának
főnyitotta	fölnyitotta
főosztályánk	főosztályának
főségös	felséges
fősülködik	fésülködik
fősüvel	fésűvel
főső	felső
főtátos	főtáltos
főtátosnak	főtáltos
főtátost	főtáltos
főur	főúr
főutazott	fölutazott
fővette	felvette
fővezírt	fővezért
főznyi	főzni
főztík	főzték
főzzé	főzz
főzzë	főzz
főzéshő	főzéshez
főügyészég	főügyészség
fűljon	főjön
fűréssze	fűrésze
fűrészvel	fűrésszel
fűsüljenek	fésüljenek
fűsüllődött	fésülődött
fűvecskét	füvecskét
fűvet	füvet
gabonapic	gabonapiac
gabonaszekcióban276	gabonaszekcióban
gajba	gallyba
gajj	gally
galamb-leány	galambleány
gallyakot	gallyakat
galy	gally
galyakból	gallyakból
ganajturo	ganajtúró
ganghon	ganghoz
gannajjábó	ganajából
garabanciás	garabonciás
garabociás	garabonciás
garabonci	garabonciás
garabonciják	garabonciák
garaboncijás	garabonciás
garaboncijások	garabonciások
garaboncijást	garabonciást
garaboncázs	garaboncás
garajcárt	krajcár
garboncziás	garabonciás
garboncás	garabonciás
garázskapu-	garázskapu
gata-árus	gataárus
gata-árusnak	gataárusnak
gata-árussal	gataárussal
gata-árust	gataárust
gatyakötőjjibű	gatyakötőjéből
gatyáér	gatyáért
gazda-asszony	gazdaasszony
gazdasszonyátul	gazdasszonyától
gazdasásgban	gazdaságban
gazdsasági	gazdasági
gazdájokhoz	gazdájukhoz
gazdájátúl	gazdájától
gazdáná	gazdánál
gazdátú	gazdától
gazzdád	gazdád
gedáim	gidáim
gedák	gidák
gedáknak	gidáknak
gedákot	gidákat
gedók	gidák
gelegonya	galagonya
genyes	gennyes
germanwings-szel	germanwingsszel
gidakülykök	gidakölykök
gidó	gida
gidócskáim	gidácskáim
gidócskáknak	gidácskának
gidóhúst	gidahúst
gidók	gidák
giosen	gioseni
glaxo-t	glaxót
gombgyát	gombját
gomboccá	gombóccá
gombolítok	gombolyítok
gombócokbúl	gombócokból
gond-tündér	gondtündér
gondndolkodott	gondolkodott
gondokval	gondokkal
gondolatja	gondolata
gondolatjára	gondolatára
gondolatját	gondolatát
gondotam	gondoltam
gondulta	gondolta
gondókozik	gondolkozik
gondót	gondolt
gondótam	gondoltam
gondúkodott	gondolkodott
gondút	gondolt
gonoszságikot	gonsoszságukat
gonoszságátó	gonoszságától
goroboncás	garabonciás
grimm	Grimm
gryere	gyere
guggojjon	guggoljon
gunarak	gúnárok
gunnyó	kunyhó
gunnyóból	kunyhóból
gunyáját	gúnyáját
gunárkacsa	gúnárkacsa
gunárnak	gúnárnak
guritják	gurítják
guzsallal	guzsallyal
guzsalyat	guzsalyt
guzsalyostól	guzsalyostul
gvárgyián	gvárdián
gyalogszerrel	gyalog
gyanu	gyanú
gyanus	gyanús
gyanusitott	gyanúsított
gyanut	gyanút
gyarapszól	gyarapszol
gyargaltak	nyargaltak
gyavittani	javítani
gyeplűt	gyeplőt
gyeplűvel	gyeplővel
gyepühöz	gyepűhöz
gyepüre	gyepűre
gyerekbő	gyerekből
gyerekik	gyerekek
gyerekinek	gyerekének
gyerekit	gyerekét
gyerekivel	gyerekével
gyerekjány	gyereklány
gyereksirást	gyereksírást
gyereőnk	gyerünk
gyergyát	gyertyát
gyermeksirás	gyermeksírás
gyermekët	gyermeket
gyermekök	gyermekek
gyermekökkel	gyermekekkel
gyermëknek	gyermeknek
gyermëkët	gyermeket
gyertyákot	gyertyákat
gyeryája	gyertyája
gyerëk	gyerek
gyerëkis	gyerekes
gyerëkët	gyereket
gyerö	gyerek
gyerök	gyerek
gyeröke	gyereke
gyerökkoromba	gyerekkoromba
gyerökre	gyerekre
gyerökök	gyerekek
gyerököt	gyereket
gyerőnk	gyerünk
gyikokról	gyíkokról
gyikot	gyíkot
gyiksárkányra	gyíksárkányra
gyilkolniok	gyilkolniuk
gyilkosrétnek	gyilkos-rétnek
gyiák	diák
gyiáknak	diáknak
gyogyítsátok	gyógyítsátok
gyolcsbúl	gyolcsból
gyomrábo	gyomrából
gyovonjál	gyónjál
gyovonni	gyónni
gyovontam	gyóntam
gyovónni	gyónni
gyugdostam	dugdostam
gyugja	dugja
gyugjátok	dugjátok
gyujtanak	gyújtanak
gyujtani	gyújtani
gyujtott	gyújtott
gyujtottak	gyújtottak
gyujts	gyújts
gyujtsák	gyújtsák
gyukja	dugja
gyuljon	gyúljon
gyurnak	gyúrnak
gyërtyaszentülőkor	gyertyaszentelőkor
gyógy-idegenforgalmi	gyógyidegenforgalmi
gyógyfűveket	gyógyfüveket
gyógyithat	gyógyíthat
gyógyittya	gyógyítja
gyógyittó	gyógyító
gyógyétani	gyógyítani
gyógyétotta	gyógyította
gyógyíttyák	gyógyítják
gyógyúl	gyógyul
gyöhetett	jöhetett
gyöhetnek	jöhetnek
gyöjjenek	jöjjenek
gyöjjön	jöjjön
gyöjjönek	jöjjenek
gyön	jön
gyönne	jönne
gyönni	jönni
gyönnyi	jönni
gyönyören	gyönyörűen
gyönyörséges	gyönyörűséges
gyönyöru	gyönyörű
gyönyöruséges	gyönyörűséges
gyönyörübb	gyönyörűbb
gyönyörüséged	gyönyörűséged
gyönyörűsígtűl	gyönyörűségtől
gyönöyr	gyönyör
gyöplűt	gyeplőt
gyöppöt	gyöpöt
gyössz	jössz
gyött	jött
gyött-ment	jöttment
gyöttek	jöttek
gyöttetek	jöttetek
gyötté	jöttél
gyöttök	jöttök
gyövünk	jövünk
gyövő	jövő
gyújtnak	gyújtanak
gyújták	gyújtották
gyúllást	gyúlást
gyúrjék	gyúrjon
gyútottak	gyújtottak
gyútósfával	gyújtósfával
gyühet	jöhet
gyüjjenek	jöjjenek
gyüjjön	jöjjön
gyüjtött	gyűjtött
gyümölcsit	gyümölcsét
gyümőcs	gyümölcs
gyümőcsfával	gyümölcsfával
gyümőcsöt	gyümölcsöt
gyün	jön
gyünnek	jönnek
gyünni	jönni
gyürü	gyűrű
gyürüről	gyűrűről
gyürüt	gyűrűt
gyüssz	jössz
gyüsz	jössz
gyütt	jött
gyüttek	jöttek
gyüttem	jöttem
gyütté	jöttél
gyüttél	jöttél
gyüvök	jövök
gyüvünk	jövünk
gyűrü	gyűrű
gyűrüjét	gyűrűjét
gyűrüt	gyűrűt
gyűrűji	gyűrűi
gyűrűjöket	gyűrűjüket
gyűrűköt	gyűrűket
gyűtött	gyűjtött
gyűtötte	gyűjtötte
gárgyája	gárgya
gátho	gáthoz
gépiőar	gépipar
gépjármű-szakértés	gépjárműszakértés
gënge	gyenge
gödröknak	gödröknek
gödörbűl	gödörből
gömbec	gömböc
gömbeccel	gömböccel
gömbecet	gömböcöt
gömbechez	gömböchöz
gömböstűket	gombostűket
gömböstűt	gombostűt
gömböstűvel	gombostűvel
gúbacsot	gubacsot
gúnyolódtá	gúnyolódtál
gúnyájok	gúnyájuk
gúnárnaok	gúnárnak
gút	guta
gútot	gutát
güdröt	gödröt
güdörbe	gödörbe
hableany	hableány
hacsaka	hacsak
hacsikazug	hacsikazugi
hacsikazugi	Hacsikazugi
hacsukazugi	hacsikazugi
had	hadd
haggya	hagyja
haggyanak	hagyjanak
hagyatt-homlok	hanyatt-homlok
hagyjá	hagyjál
hagymáér	hagymáért
hagyniok	hagyniuk
hagynyi	hagyni
hagyítod	hajítod
hagyította	hajította
hajadonfűn	hajadonfővel
hajamot	hajamat
hajaszálai	hajszálai
hajdu	hajdú
hajingálta	hajigálta
hajitsa	hajítsa
hajitással	hajítással
hajja	hallja
hajjátok	halljátok
hajjëk	hallja
hajnuó	hajnal
hajom	hagyom
hajszált	hajszálat
hajtál	hajtottál
haju	hajú
hajulna	hajolna
hajult	hajolt
hajá	haja
hajábul	hajából
hajábó	hajából
hajítanni	hajítani
hajó-árbocokon	hajóárbocokon
halaványodik	halványodik
hallaniok	hallaniuk
hallassz	hallasz
hallnak	hallnak
hallottá	hallottál
hallottáttok	hallottátok
hallsz	hallasz
halltam	hallottam
halnyi	halni
halottakval	halottakkal
halottaséneket	halottasének
halotthalaványan	halotthalványan
halva-árus	halvaárus
halva-árusokat	halvaárusokat
halva-árussal	halvaárussal
halálgyümölcsbő	halálgyümölcsből
halálónkot	halálunkat
halászatbó	halászatból
halászgatnyi	halászgatni
halászoktúl	halászoktól
hama	hamar
hamma	hamar
hammas	hamvas
hammasfazékból	hamvasfazékból
hanaltájban	hajnaltájban
hangya-ember	hangyaember
hanover	hannover
hanoverben	hannoverben
hanyat	hanyatt
hanyattég	hanyatt
hanyba	hányba
hanyban	hányban
hanyigáljak	hajigáljak
hanyigálsz	hajigálsz
hanyután	hanyatt
hanyítani	hajítani
hanëm	hanem
hanëmha	hanem
haomannap	harmadnap
haraghatik	haragudhat
haragudjá	haragudj
haragudnyi	haragudni
haragudt	haragudott
haragusznak	haragszanak
harangjaér	harangjáért
harangjúk	harangjuk
harangomot	harangomat
harangosztak	harangoztak
harangoznyi	harangozni
harangozóér	harangozóért
harmaccor	harmadszor
harmaccora	harmadszorra
harmad-kakasszókor	harmadkakasszókor
harmadját	harmadát
harmadrészit	harmadrészét
harmadszorra	harmadszor
harmagyik	harmadik
harmagyiknak	harmadiknak
harmagyikot	harmadikat
harmannap	harmadnap
harmdiknál	harmadiknál
harmincnyóc	harmincnyolc
has-árus	hasárus
has-árusnak	hasárusnak
has-árusra	hasárusra
has-árust	hasárust
hasadékját	hasadékát
hasgatta	hasogatta
hasigálta	hasogatta
hasitani	hasítani
hasonlitt	hasonlít
hasonlóképen	hasonlóképpen
hasonól	hasonló
használató	használatú
használnyi	használni
használt-é	használt
haszony	haszon
hatalmok	hatalmuk
hatfelé	hatféle
hatta	hagyta
hattad	hagytad
hattam	hagytam
hatták	hagyták
hatvidres	hatvödrös
hatábó	határból
határbó	határból
határjába	határába
határmesgyéjén	határmezsgyéjén
havassát	havasát
hazabocsájtotta	hazabocsátotta
hazabolondolnyi	hazabolondolni
hazagyöjjünk	hazajöjjünk
hazagyön	hazajön
hazagyönni	hazajönni
hazagyött	hazajött
hazagyün	hazajön
hazagyünni	hazajönni
hazagyütt	hazajött
hazagyüttünk	hazajöttünk
hazahíja	hazahívja
hazajövél	hazajöttél
hazajő	hazajön
hazajőjj	hazajöjj
hazajőnek	hazajönnek
hazajű	hazajön
hazaláogatott	hazalátogatott
hazamegyen	hazamegy
hazamenek	hazamegyek
hazamennyi	hazamenni
hazamenyi	hazamenni
hazamönt	hazament
hazatelepődött	hazatelepedett
hazavihetöd	hazaviheted
hazavittík	hazavitték
hazavágyol	hazavágysz
hazaélve	hazaérve
hazaírkezik	hazaérkezik
hazaírkeztek	hazaérkeztek
hazaírnek	hazaérnek
hazaírt	hazaért
hazaírtek	hazaértek
hazud	hazudik
hazudtá	hazudtál
hazulrúl	hazulról
hazunni	hazudni
hazunnét	otthonról
hazájokat	hazájukat
hazámot	házamat
hazért	hazaért
hazúlról	hazulról
haódvilág	holdvilág
hederintett	hederített
hederitett	hederített
hegybűl	hegyből
hegyenvölgyön	hegyen-völgyön
hegyess	hegyes
hegyibe	hegyébe
hegyire	hegyére
hegyit	hegyét
hegyivel	hegyével
heje-huja	hejehuja
hejre	helyre
helettem	helyettem
helit	helyét
hellen	helyen
hellött	helyett
helybehagyták	helybenhagyták
helyheztette	helyeztette
helyheztettem	helyeztettem
helyibül	helyéből
helyikre	helyükre
helyikről	helyükről
helyin	helyén
helyire	helyére
helyit	helyét
helyrűl	helyről
helytt	helyett
helyéböl	helyéből
helyën	helyen
helyët	helyet
helyökre	helyükre
helön	helyen
henem	hanem
hengergődz	hengergőzz
herceglegínnyel	herceglegénnyel
herceglegíny	herceglegény
herczegkisaszonnyal	hercegkisaszonnyal
herré	helyre
heréléstül	heréléstől
heródeshó	heródeshoz
hetegyik	hetedik
hetfő	hétfő
hetfőn	hétfőn
hetüs	hetes
hezza	hozza
hezzadörgölgetém	hozzádörgölgetém
hezzalő	hozzálő
hezzaszóllottam	hozzászóltam
hezzik	hozzájuk
hezzá	hozzá
hezzám	hozzám
heába	hiába
heétet	hetet
hibádzék	hibádzik
hid	híd
hidegleleésreő	hideglelésről
hidegleleősnek	hideglelősnek
hidon	hídon
hig	híg
higitják	higítják
higyje	higgye
higyjen	higgyen
higyjétek	higgyétek
hijj	hívj
hijjok	hívjuk
hijjom	hívom
hijjába	hiába
hijába	hiába
him	hím
himes	hímes
himet	hímet
himvarró	hímvarró
himzett	hímzett
himzőtűvel	hímzőtűvel
hinak	hívnak
hinarasból	hínárosból
hintennyi	hinteni
hintenyi	hinteni
hinár	hínár
hir	hír
hires	híres
hirt	hírt
hirtelenében	hirtelenjében
hirét	hírét
hirök	hírek
hirük-hamvuk	hírük-hamvuk
hiszén	hiszen
hitelestése	hitelesítése
hitelesítés-szolgáltatás	hitelesítésszolgáltatás
hitták	hívták
hittík	hitték
hiték	hitték
hiubúl	hiuból
hivassa	hívassa
hivassak	hívassak
hivatja	hívatja
hivatják	hívatják
hivatta	hívatta
hivek	hívek
hiven	híven
hivj	hívj
hivja	hívja
hivják	hívják
hivnak	hívnak
hivni	hívni
hivott	hívott
hivták	hívták
hiván	híván
hivó	hívó
hizelgő	hízelgő
hizelögni	hízelegni
hizik	hízik
hizni	hízni
hizó	hízó
hizóba	hízóba
hoember	hóember
hogy-hogy	hogyhogy
hogye	hogyan
hogyen	hogyan
hokiralyno	hókirálynő
hold-hegyek	holdhegyek
holdujság	holdújság/újhold
holtest	holttest
honapján	honlapján
honn	otthon
honnat	honnan
honnjába	honjába
hont-csitárbúl	hon-csitárból
hoppmester	hopmester
hordóbul	hordóból
hordóbúl	hordóból
hordókot	hordókat
horgyák	hordják
hosszi	hosszú
hoszták	hozták
hovat	havat
hová-merre	hová
hozi	hoz
hoznyi	hozni
hozzájok	hozzájuk
hozzáka	hozzák
hozzákezdték	hozzákezdtek
hozzákötte	hozzákötötte
hozzátíve	hozzátéve
hrét	hírét
hu-hu	huhú
huga	húga
hugai	húgai
hugátó	húgától
hul	hol
hun	hol
huncfut	huncut
huncfutsággal	huncutsággal
huncutságbúl	huncutságból
hunczut	huncut
hunmiját	holmiját
hunn	hol
hunnan	honnan
hunnet	honnan
hunnét	honnét
hunyadi	Hunyafi
hunyadnak	Hunyadnak
hupp	hopp
hurcolkoggyatok	hurcolkodjatok
hurka-bőrbe	hurkabőrbe
husevő	húsevő
hushagyó	húshagyó
hushagyókor	húshagyókor
husonhétser	huszonhétszer
hussát	húsát
hust	húst
husvét	húsvét
husvéti	húsvéti
husvétnak	húsvétnak
husvétra	húsvétra
huszonnígy	huszonnégy
huszonnígyet	hunszonnégyet
husát	húsát
husëvő	húsevő
huva	hova
huvá	hova
huzatom	húzatom
huzatta	húzatta
huzd	húzd
huzogatni	húzogatni
huzta	húzta
huzza	húzza
huzzák	húzzák
huzának	húztak
há	hát
háborúskodnyi	háborúskodni
hágy	hagy
háha	hátha
hálá	hála
hálákodni	hálálkodni
hálákodott	hálálkodott
hálákot	hálákat
hánni	hányni
hánta	hányta
hányi	hányja
háom	három
hármashegyen	Hármashegyen
hármokra	hármukra
hármotok	hármótok
három-nígy	három-négy
háromat	hármat
háromfele	háromfelé
háromnégy	három-négy
hárúl	hárul
hászen	hiszen
hátamrúl	hátamról
hátatforditanak	fordítanak
hátra-e	hátra
hátraszaladott	hátraszaladt
hátraszentölt	hátraszentelt
hátraszentölte	hátraszentelte
hátrujja	hátulja
hátrább-hátrább	hátrébb
hátrújja	hátulja
hátuljokat	hátuljukat
hátyijába	hátuljába
hátárló	hátáról
hátáro	hátáról
hátáron	határon
hátárúl	hátáról
házakot	házakat
házamtó	házamtól
házasodhatik	házasodhat
házasodjá	házasodjál
házasodnyi	házasodni
házasodol	házasodsz
házasúlandó	házasulandó
házbaó	házból
házbul	házból
házbó	házból
házbú	házból
házbúl	házból
házetőre	háztetőre
házfőggyën	földjén
házho	házhoz
házhó	házhoz
házikóho	házikóhoz
házná	háznál
házo	ház
házok	házak
házokba	házakba
házruó	házról
házrú	házról
házrúl	házról
háztatőket	háztetőket
háztetejin	háztetején
háztetejire	háztetőre
háztetejën	háztetőn
házteteön	háztetőn
háztetún	háztetőn
háztul	háztól
háztuó	háztól
háztúl	háztól
házáná	házánál
házátul	házától
házátó	házától
házónk	házunk
házónkot	házunkat
hááát	hát
héjjba	héjba
héjjánosság	hiányosság
héjjánossága	hiányossága
héjjával	híja
hét-nyóc	hét-nyolc
hétfejit	hétfejűt
hétszerte	hétszer
hétyig	hétig
hétën	héten
hëgyës	hegyes
hëtfün	hétfőn
hí	hív
hídast	hidast
hídd	hívd
híjja	hívja
híjjam	hívjam
híjjatok	hívjatok
híjjuba	hijuba
híjják	hívják
híjába	hiába
híjúba	hijuba
hínak	hívnak
híni	hívni
hínni	hívni
hínya	hívnia
hírbűl	hírből
híri	híre
hírik-porik	hírük-poruk
hírit	hírét
hírivel	hírével
hírök	hírek
hít	hívott
hítt	hívott
hítta	hívta
híttak	hívtak
híttuk	hívtuk
híttunk	hívtunk
hítták	hívták
híttál	hívtál
híták	hívták
hízlalom	hizlalom
hízlaló	hizlaló
híába	hiába
hó-rukk	hórukk
hódit	hódít
hódtőttekor	holdtöltekor
hódvilágba	holdvilágba
hódvilágnak	holdvilág
hóhír	hóhér
hól	hal
hólt	halt
hólyagas	hólyagos
hónajmankón	hónaljmankón
hónap	holnap
hópehely-virágok	hópehelyvirágok
hót	halt
hótak	haltak
hótaktól	holtaktól
hótt	holt
hótta	holta
hóttak	haltak
hóttakról	holtakról
hóttukig	holtukig
hótunk	haltunk
hö	hő
högye	hegye
högyös	hegyes
högyösen	hegyesen
högyöset	hegyeset
höj	hej
húgám	húgom
húhagyuó	húshagyó
húll	hull
húlljatok	hulljatok
húllnak	hullanak
húnn	hol
húnyta	hunyta
húsbó	húsból
hússzorta	hússzor
húsviét	húsvét
húzaódozik	húzódozik
húznyi	húzni
húzzsanak	húzzanak
húzzsatok	húzzatok
húzzá	húzzál
hüljön	hűljön
hütelbe	hitelbe
hütömre	hitemre
hüvelybűl	hüvelyből
hüvelykuját	hüvelykujját
hő	hő
hőj	hej
hűségës	hűséges
hűsíges	hűséges
hűveg	hüvelyk
hűvelyk	hüvelyk
iccaka	éjszaka
icczakának	éjszakának
idasapámánál	édesapámnál
idegeny	idegen
idegyött	idejött
idehallgassonak	idehallgassanak
idehurcukodtunk	idehurcolkodtunk
ideji	ideje
idejibe	idejébe
idejig	ideig
idejik	idejük
idejin	idején
idejit	idejét
idejébül	idejéből
idejök	idejük
idejövél	idejöttél
idejő	idejön
idejővé	idejöttél
idekültél	ideküldtél
ides	édes
idesanyja	édesanyja
idesanyád	édesanyád
idesanyám	édesanyám
idesanyámnak	édesanyámnak
idesapja	édesapja
idesapám	édesapám
ideslánya	édeslánya
idességiből	édességéből|édességeiből
ideáig	idáig
ideírkezik	ideérkezik
időjárási-	időjárási
időjárásrú	időjárásról
idősseket	időseket
időér	időért
idű	idő
ie'mennek	elmennek
iffju	ifjú
ifiak	ifjak
ifiember	ifiember
ifiú	ifjú
ifju	ifjú
ifjuhoz	ifjúhoz
ifjúsággyümőcs	ifjúsággyümölcs
